"UserID","Movie","Rating"
1,"M1",0
2,"M1",0
3,"M1",0
4,"M1",0
5,"M1",0
6,"M1",0
7,"M1",3
8,"M1",0
9,"M1",0
10,"M1",3
11,"M1",2
12,"M1",0
13,"M1",3
14,"M1",0
15,"M1",0
16,"M1",0
17,"M1",0
18,"M1",2
19,"M1",0
20,"M1",0
21,"M1",0
22,"M1",0
23,"M1",0
24,"M1",0
25,"M1",0
26,"M1",3
27,"M1",0
28,"M1",0
29,"M1",0
30,"M1",0
31,"M1",0
32,"M1",0
33,"M1",0
34,"M1",0
35,"M1",0
36,"M1",0
37,"M1",0
38,"M1",0
39,"M1",0
40,"M1",0
41,"M1",0
42,"M1",0
43,"M1",0
44,"M1",0
45,"M1",0
46,"M1",0
47,"M1",0
48,"M1",0
49,"M1",0
50,"M1",0
51,"M1",0
52,"M1",0
53,"M1",0
54,"M1",0
55,"M1",3
56,"M1",0
57,"M1",0
58,"M1",0
59,"M1",0
60,"M1",0
61,"M1",0
62,"M1",0
63,"M1",0
64,"M1",0
65,"M1",0
66,"M1",3
67,"M1",0
68,"M1",0
69,"M1",0
70,"M1",0
71,"M1",0
72,"M1",0
73,"M1",0
74,"M1",0
75,"M1",0
76,"M1",0
77,"M1",0
78,"M1",3
79,"M1",0
80,"M1",0
81,"M1",3
82,"M1",0
83,"M1",0
84,"M1",0
85,"M1",0
86,"M1",0
87,"M1",0
88,"M1",0
89,"M1",0
90,"M1",0
91,"M1",0
92,"M1",0
93,"M1",0
94,"M1",0
95,"M1",3
96,"M1",0
97,"M1",0
98,"M1",0
99,"M1",0
100,"M1",0
101,"M1",3
102,"M1",2
103,"M1",0
104,"M1",2
105,"M1",2
106,"M1",3
107,"M1",1
108,"M1",0
109,"M1",3
110,"M1",3
111,"M1",3
112,"M1",0
113,"M1",3
114,"M1",3
115,"M1",1
116,"M1",0
117,"M1",3
118,"M1",0
119,"M1",1
120,"M1",1
121,"M1",0
122,"M1",1
123,"M1",3
124,"M1",2
125,"M1",3
126,"M1",3
127,"M1",3
128,"M1",3
129,"M1",0
130,"M1",3
131,"M1",1
132,"M1",3
133,"M1",2
134,"M1",1
135,"M1",3
136,"M1",3
137,"M1",1
138,"M1",3
139,"M1",2
140,"M1",0
141,"M1",1
142,"M1",2
143,"M1",2
144,"M1",0
145,"M1",0
146,"M1",2
147,"M1",2
148,"M1",0
149,"M1",1
150,"M1",3
151,"M1",3
152,"M1",2
153,"M1",1
154,"M1",0
155,"M1",0
156,"M1",2
157,"M1",2
158,"M1",1
159,"M1",3
160,"M1",0
161,"M1",2
162,"M1",0
163,"M1",1
164,"M1",3
165,"M1",1
166,"M1",0
167,"M1",1
168,"M1",3
169,"M1",2
170,"M1",3
171,"M1",1
172,"M1",2
173,"M1",3
174,"M1",3
175,"M1",3
176,"M1",3
177,"M1",1
178,"M1",3
179,"M1",0
180,"M1",0
181,"M1",0
182,"M1",2
183,"M1",1
184,"M1",1
185,"M1",1
186,"M1",0
187,"M1",3
188,"M1",3
189,"M1",1
190,"M1",0
191,"M1",0
192,"M1",3
193,"M1",2
194,"M1",1
195,"M1",0
196,"M1",2
197,"M1",0
198,"M1",1
199,"M1",2
200,"M1",2
201,"M1",3
202,"M1",3
203,"M1",3
204,"M1",3
205,"M1",1
206,"M1",1
207,"M1",0
208,"M1",1
209,"M1",1
210,"M1",3
211,"M1",2
212,"M1",3
213,"M1",3
214,"M1",0
215,"M1",2
216,"M1",3
217,"M1",2
218,"M1",2
219,"M1",0
220,"M1",1
221,"M1",3
222,"M1",0
223,"M1",0
224,"M1",1
225,"M1",2
226,"M1",1
227,"M1",3
228,"M1",0
229,"M1",0
230,"M1",1
231,"M1",3
232,"M1",0
233,"M1",1
234,"M1",2
235,"M1",0
236,"M1",0
237,"M1",3
238,"M1",2
239,"M1",0
240,"M1",2
241,"M1",2
242,"M1",0
243,"M1",3
244,"M1",1
245,"M1",3
246,"M1",3
247,"M1",1
248,"M1",0
249,"M1",3
250,"M1",3
251,"M1",0
252,"M1",0
253,"M1",2
254,"M1",1
255,"M1",2
256,"M1",0
257,"M1",3
258,"M1",0
259,"M1",3
260,"M1",2
261,"M1",3
262,"M1",3
263,"M1",2
264,"M1",2
265,"M1",0
266,"M1",1
267,"M1",1
268,"M1",1
269,"M1",3
270,"M1",1
271,"M1",1
272,"M1",1
273,"M1",1
274,"M1",1
275,"M1",1
276,"M1",2
277,"M1",0
278,"M1",2
279,"M1",2
280,"M1",3
281,"M1",2
282,"M1",3
283,"M1",0
284,"M1",1
285,"M1",2
286,"M1",2
287,"M1",3
288,"M1",0
289,"M1",3
290,"M1",2
291,"M1",0
292,"M1",3
293,"M1",3
294,"M1",3
295,"M1",2
296,"M1",2
297,"M1",2
298,"M1",1
299,"M1",1
300,"M1",2
301,"M1",3
302,"M1",0
303,"M1",2
304,"M1",3
305,"M1",3
306,"M1",2
307,"M1",0
308,"M1",2
309,"M1",3
310,"M1",0
311,"M1",0
312,"M1",2
313,"M1",3
314,"M1",2
315,"M1",1
316,"M1",2
317,"M1",1
318,"M1",0
319,"M1",2
320,"M1",3
321,"M1",3
322,"M1",2
323,"M1",1
324,"M1",1
325,"M1",1
326,"M1",0
327,"M1",1
328,"M1",2
329,"M1",1
330,"M1",0
331,"M1",3
332,"M1",0
333,"M1",3
334,"M1",3
335,"M1",2
336,"M1",3
337,"M1",1
338,"M1",3
339,"M1",1
340,"M1",2
341,"M1",3
342,"M1",2
343,"M1",3
344,"M1",3
345,"M1",1
346,"M1",1
347,"M1",3
348,"M1",1
349,"M1",2
350,"M1",2
351,"M1",1
352,"M1",1
353,"M1",0
354,"M1",0
355,"M1",1
356,"M1",3
357,"M1",0
358,"M1",2
359,"M1",1
360,"M1",2
361,"M1",1
362,"M1",2
363,"M1",2
364,"M1",2
365,"M1",0
366,"M1",2
367,"M1",3
368,"M1",0
369,"M1",3
370,"M1",1
371,"M1",2
372,"M1",1
373,"M1",0
374,"M1",0
375,"M1",0
376,"M1",3
377,"M1",3
378,"M1",1
379,"M1",0
380,"M1",1
381,"M1",3
382,"M1",0
383,"M1",2
384,"M1",1
385,"M1",0
386,"M1",1
387,"M1",2
388,"M1",0
389,"M1",3
390,"M1",1
391,"M1",1
392,"M1",0
393,"M1",3
394,"M1",1
395,"M1",1
396,"M1",2
397,"M1",0
398,"M1",2
399,"M1",1
400,"M1",1
401,"M1",0
402,"M1",3
403,"M1",0
404,"M1",3
405,"M1",0
406,"M1",2
407,"M1",3
408,"M1",3
409,"M1",3
410,"M1",0
411,"M1",3
412,"M1",0
413,"M1",3
414,"M1",2
415,"M1",0
416,"M1",1
417,"M1",2
418,"M1",2
419,"M1",0
420,"M1",3
421,"M1",3
422,"M1",0
423,"M1",3
424,"M1",0
425,"M1",3
426,"M1",0
427,"M1",1
428,"M1",2
429,"M1",1
430,"M1",3
431,"M1",0
432,"M1",0
433,"M1",2
434,"M1",3
435,"M1",0
436,"M1",0
437,"M1",3
438,"M1",2
439,"M1",1
440,"M1",1
441,"M1",2
442,"M1",3
443,"M1",2
444,"M1",1
445,"M1",2
446,"M1",3
447,"M1",0
448,"M1",2
449,"M1",3
450,"M1",1
451,"M1",0
452,"M1",1
453,"M1",0
454,"M1",1
455,"M1",2
456,"M1",1
457,"M1",0
458,"M1",0
459,"M1",2
460,"M1",1
461,"M1",0
462,"M1",2
463,"M1",2
464,"M1",3
465,"M1",1
466,"M1",1
467,"M1",3
468,"M1",2
469,"M1",0
470,"M1",2
471,"M1",1
472,"M1",1
473,"M1",2
474,"M1",2
475,"M1",0
476,"M1",0
477,"M1",1
478,"M1",1
479,"M1",2
480,"M1",1
481,"M1",2
482,"M1",1
483,"M1",3
484,"M1",2
485,"M1",3
486,"M1",2
487,"M1",1
488,"M1",1
489,"M1",1
490,"M1",3
491,"M1",2
492,"M1",0
493,"M1",3
494,"M1",3
495,"M1",0
496,"M1",0
497,"M1",3
498,"M1",1
499,"M1",3
500,"M1",3
501,"M1",0
502,"M1",0
503,"M1",0
504,"M1",0
505,"M1",0
506,"M1",3
507,"M1",0
508,"M1",0
509,"M1",0
510,"M1",2
511,"M1",3
512,"M1",3
513,"M1",1
514,"M1",0
515,"M1",0
516,"M1",3
517,"M1",1
518,"M1",2
519,"M1",0
520,"M1",1
521,"M1",1
522,"M1",3
523,"M1",1
524,"M1",2
525,"M1",0
526,"M1",0
527,"M1",3
528,"M1",1
529,"M1",2
530,"M1",3
531,"M1",2
532,"M1",1
533,"M1",3
534,"M1",3
535,"M1",2
536,"M1",3
537,"M1",2
538,"M1",3
539,"M1",3
540,"M1",0
541,"M1",1
542,"M1",1
543,"M1",0
544,"M1",3
545,"M1",3
546,"M1",2
547,"M1",2
548,"M1",0
549,"M1",2
550,"M1",2
551,"M1",1
552,"M1",0
553,"M1",2
554,"M1",2
555,"M1",2
556,"M1",0
557,"M1",3
558,"M1",3
559,"M1",3
560,"M1",3
561,"M1",3
562,"M1",2
563,"M1",2
564,"M1",0
565,"M1",3
566,"M1",2
567,"M1",2
568,"M1",0
569,"M1",1
570,"M1",0
571,"M1",3
572,"M1",1
573,"M1",3
574,"M1",3
575,"M1",0
576,"M1",0
577,"M1",2
578,"M1",2
579,"M1",0
580,"M1",2
581,"M1",0
582,"M1",1
583,"M1",1
584,"M1",3
585,"M1",1
586,"M1",3
587,"M1",1
588,"M1",2
589,"M1",0
590,"M1",3
591,"M1",0
592,"M1",1
593,"M1",3
594,"M1",0
595,"M1",2
596,"M1",3
597,"M1",1
598,"M1",2
599,"M1",2
600,"M1",0
601,"M1",0
602,"M1",3
603,"M1",1
604,"M1",2
605,"M1",2
606,"M1",0
607,"M1",0
608,"M1",2
609,"M1",0
