"","ID","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard","CCAvg","Mortgage"
"1","64","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"2","129","0","1","0","1","0",-1.11339076088986,-0.554438203823524
"3","211","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"4","254","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"5","261","0","0","0","0","1",-1.11339076088986,-0.554438203823524
"6","297","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"7","445","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"8","935","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"9","993","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"10","1006","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"11","1074","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"12","1086","0","1","0","0","0",-1.11339076088986,-0.554438203823524
"13","1099","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"14","1249","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"15","1321","1","0","0","1","0",-1.11339076088986,-0.554438203823524
"16","1387","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"17","1477","0","0","0","0","1",-1.11339076088986,-0.554438203823524
"18","1493","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"19","1495","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"20","1507","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"21","1563","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"22","1568","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"23","1581","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"24","1634","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"25","1639","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"26","1640","0","1","0","1","0",-1.11339076088986,-0.554438203823524
"27","1644","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"28","1757","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"29","1761","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"30","1792","0","0","1","1","1",-1.11339076088986,-0.554438203823524
"31","1824","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"32","1905","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"33","1961","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"34","2012","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"35","2029","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"36","2072","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"37","2128","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"38","2199","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"39","2238","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"40","2275","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"41","2358","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"42","2547","0","1","0","0","0",-1.11339076088986,-0.554438203823524
"43","2621","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"44","2643","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"45","2668","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"46","2840","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"47","2864","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"48","2865","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"49","2945","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"50","3165","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"51","3253","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"52","3261","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"53","3397","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"54","3403","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"55","3425","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"56","3533","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"57","3544","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"58","3583","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"59","3589","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"60","3630","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"61","3838","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"62","3879","0","0","0","1","1",-1.11339076088986,-0.554438203823524
"63","3904","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"64","3939","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"65","4054","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"66","4085","0","1","0","0","0",-1.11339076088986,-0.554438203823524
"67","4099","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"68","4291","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"69","4337","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"70","4404","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"71","4439","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"72","4491","0","1","0","1","0",-1.11339076088986,-0.554438203823524
"73","4503","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"74","4682","0","0","0","0","1",-1.11339076088986,-0.554438203823524
"75","4761","0","0","0","0","1",-1.11339076088986,-0.554438203823524
"76","4838","0","0","0","0","0",-1.11339076088986,-0.554438203823524
"77","4911","0","0","0","1","0",-1.11339076088986,-0.554438203823524
"78","1482","0","1","0","1","0",-1.11339076088986,0.19451230061444
