"","rules","support","confidence","lift","count"
"1","{liquor,red/blush wine} => {bottled beer}",0.00193187595322827,0.904761904761905,11.2352693602694,19
"2","{curd,cereals} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331,10
"3","{yogurt,cereals} => {whole milk}",0.00172852058973055,0.80952380952381,3.16819206791352,17
"4","{butter,jam} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"5","{soups,bottled beer} => {whole milk}",0.00111845449923742,0.916666666666667,3.58751160631383,11
"6","{napkins,house keeping products} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908,13
"7","{whipped/sour cream,house keeping products} => {whole milk}",0.00122013218098627,0.923076923076923,3.61259910006428,12
"8","{pastry,sweet spreads} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331,10
"9","{turkey,curd} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247,12
"10","{rice,sugar} => {whole milk}",0.00122013218098627,1,3.91364902506964,12
"11","{butter,rice} => {whole milk}",0.00152516522623284,0.833333333333333,3.26137418755803,15
"12","{domestic eggs,rice} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892,11
"13","{rice,bottled water} => {whole milk}",0.00122013218098627,0.923076923076923,3.61259910006428,12
"14","{yogurt,rice} => {other vegetables}",0.00193187595322827,0.826086956521739,4.2693458840732,19
"15","{oil,mustard} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255,12
"16","{canned fish,hygiene articles} => {whole milk}",0.00111845449923742,1,3.91364902506964,11
"17","{herbs,fruit/vegetable juice} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247,12
"18","{herbs,shopping bags} => {other vegetables}",0.00193187595322827,0.826086956521739,4.2693458840732,19
"19","{tropical fruit,herbs} => {whole milk}",0.00233858668022369,0.821428571428571,3.21478312773577,23
"20","{herbs,rolls/buns} => {whole milk}",0.00244026436197255,0.8,3.13091922005571,24
"21","{pickled vegetables,chocolate} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255,12
"22","{grapes,onions} => {other vegetables}",0.00111845449923742,0.916666666666667,4.73747591522158,11
"23","{meat,margarine} => {other vegetables}",0.00172852058973055,0.85,4.39293221229637,17
"24","{hard cheese,oil} => {other vegetables}",0.00111845449923742,0.916666666666667,4.73747591522158,11
"25","{onions,butter milk} => {other vegetables}",0.00132180986273513,0.8125,4.19912637940095,13
"26","{pork,butter milk} => {other vegetables}",0.00183019827147941,0.857142857142857,4.42984760903836,18
"27","{onions,waffles} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247,12
"28","{hamburger meat,curd} => {whole milk}",0.0025419420437214,0.806451612903226,3.15616856860455,25
"29","{hamburger meat,bottled beer} => {whole milk}",0.00172852058973055,0.80952380952381,3.16819206791352,17
"30","{other vegetables,yogurt,specialty cheese} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908,13
"31","{turkey,tropical fruit,root vegetables} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247,12
"32","{turkey,root vegetables,whole milk} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247,12
"33","{root vegetables,butter,rice} => {whole milk}",0.00101677681748856,1,3.91364902506964,10
"34","{tropical fruit,other vegetables,rice} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"35","{root vegetables,yogurt,rice} => {other vegetables}",0.00142348754448399,0.875,4.52213610089333,14
"36","{root vegetables,yogurt,rice} => {whole milk}",0.00142348754448399,0.875,3.42444289693593,14
"37","{root vegetables,other vegetables,rice} => {whole milk}",0.00183019827147941,0.818181818181818,3.20207647505698,18
"38","{whole milk,yogurt,rice} => {other vegetables}",0.00152516522623284,0.833333333333333,4.30679628656507,15
"39","{tropical fruit,pip fruit,frozen fish} => {other vegetables}",0.00101677681748856,0.833333333333333,4.30679628656507,10
"40","{pip fruit,whole milk,frozen fish} => {other vegetables}",0.00111845449923742,0.846153846153846,4.37305469097377,11
"41","{root vegetables,yogurt,frozen fish} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255,12
"42","{other vegetables,yogurt,frozen fish} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255,12
"43","{root vegetables,herbs,curd} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255,12
"44","{herbs,other vegetables,domestic eggs} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"45","{herbs,other vegetables,fruit/vegetable juice} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"46","{herbs,whole milk,fruit/vegetable juice} => {other vegetables}",0.00101677681748856,0.909090909090909,4.69832322170735,10
"47","{citrus fruit,tropical fruit,herbs} => {other vegetables}",0.00101677681748856,0.833333333333333,4.30679628656507,10
"48","{citrus fruit,tropical fruit,herbs} => {whole milk}",0.00111845449923742,0.916666666666667,3.58751160631383,11
"49","{citrus fruit,root vegetables,herbs} => {other vegetables}",0.00132180986273513,0.8125,4.19912637940095,13
"50","{citrus fruit,root vegetables,herbs} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908,13
"51","{root vegetables,herbs,shopping bags} => {other vegetables}",0.00111845449923742,0.846153846153846,4.37305469097377,11
"52","{tropical fruit,root vegetables,herbs} => {whole milk}",0.00152516522623284,0.882352941176471,3.45321972800262,15
"53","{tropical fruit,herbs,yogurt} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"54","{tropical fruit,herbs,other vegetables} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908,13
"55","{root vegetables,herbs,rolls/buns} => {whole milk}",0.00152516522623284,0.833333333333333,3.26137418755803,15
"56","{tropical fruit,yogurt,semi-finished bread} => {other vegetables}",0.00132180986273513,0.8125,4.19912637940095,13
"57","{other vegetables,whipped/sour cream,detergent} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"58","{tropical fruit,yogurt,baking powder} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892,11
"59","{other vegetables,flour,sugar} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255,12
"60","{root vegetables,whipped/sour cream,flour} => {whole milk}",0.00172852058973055,1,3.91364902506964,17
"61","{root vegetables,rolls/buns,flour} => {other vegetables}",0.00101677681748856,0.833333333333333,4.30679628656507,10
"62","{butter,soft cheese,domestic eggs} => {whole milk}",0.00101677681748856,1,3.91364902506964,10
"63","{butter,yogurt,soft cheese} => {whole milk}",0.00122013218098627,0.8,3.13091922005571,12
"64","{root vegetables,soft cheese,domestic eggs} => {other vegetables}",0.00101677681748856,0.833333333333333,4.30679628656507,10
"65","{root vegetables,soft cheese,domestic eggs} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"66","{tropical fruit,whipped/sour cream,soft cheese} => {other vegetables}",0.00122013218098627,0.923076923076923,4.77060511742593,12
"67","{root vegetables,whipped/sour cream,soft cheese} => {whole milk}",0.00122013218098627,0.923076923076923,3.61259910006428,12
"68","{citrus fruit,root vegetables,soft cheese} => {other vegetables}",0.00101677681748856,1,5.16815554387809,10
"69","{pork,grapes,whole milk} => {other vegetables}",0.00101677681748856,0.833333333333333,4.30679628656507,10
"70","{citrus fruit,grapes,fruit/vegetable juice} => {tropical fruit}",0.00111845449923742,0.846153846153846,8.06387895050686,11
"71","{tropical fruit,grapes,root vegetables} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247,12
"72","{tropical fruit,grapes,yogurt} => {other vegetables}",0.00142348754448399,0.823529411764706,4.25612809495842,14
"73","{tropical fruit,grapes,whole milk} => {other vegetables}",0.00203355363497712,0.8,4.13452443510247,20
"74","{meat,tropical fruit,whole milk} => {other vegetables}",0.00101677681748856,0.833333333333333,4.30679628656507,10
"75","{meat,root vegetables,yogurt} => {other vegetables}",0.00122013218098627,0.857142857142857,4.42984760903836,12
"76","{curd,yogurt,frozen meals} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892,11
"77","{frankfurter,tropical fruit,frozen meals} => {other vegetables}",0.00101677681748856,0.909090909090909,4.69832322170735,10
"78","{frankfurter,tropical fruit,frozen meals} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331,10
"79","{frankfurter,other vegetables,frozen meals} => {whole milk}",0.00122013218098627,0.8,3.13091922005571,12
"80","{tropical fruit,butter,frozen meals} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331,10
"81","{tropical fruit,root vegetables,frozen meals} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892,11
"82","{tropical fruit,yogurt,frozen meals} => {whole milk}",0.0016268429079817,0.8,3.13091922005571,16
"83","{butter,yogurt,hard cheese} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908,13
"84","{tropical fruit,whipped/sour cream,hard cheese} => {other vegetables}",0.00101677681748856,0.909090909090909,4.69832322170735,10
"85","{root vegetables,whipped/sour cream,hard cheese} => {other vegetables}",0.00132180986273513,0.8125,4.19912637940095,13
"86","{tropical fruit,yogurt,hard cheese} => {whole milk}",0.00142348754448399,0.823529411764706,3.22300507946911,14
"87","{dessert,butter milk,yogurt} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908,13
"88","{pork,whole milk,butter milk} => {other vegetables}",0.00101677681748856,0.909090909090909,4.69832322170735,10
"89","{pip fruit,butter milk,fruit/vegetable juice} => {other vegetables}",0.00101677681748856,0.909090909090909,4.69832322170735,10
"90","{pip fruit,root vegetables,butter milk} => {other vegetables}",0.00122013218098627,0.857142857142857,4.42984760903836,12
"91","{other vegetables,butter milk,pastry} => {yogurt}",0.00122013218098627,0.8,5.73469387755102,12
"92","{sausage,butter milk,yogurt} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892,11
"93","{root vegetables,butter milk,yogurt} => {whole milk}",0.00152516522623284,0.882352941176471,3.45321972800262,15
"94","{root vegetables,rolls/buns,candy} => {other vegetables}",0.00101677681748856,0.833333333333333,4.30679628656507,10
"95","{ham,whole milk,frozen vegetables} => {other vegetables}",0.00101677681748856,0.833333333333333,4.30679628656507,10
"96","{ham,tropical fruit,pip fruit} => {other vegetables}",0.0016268429079817,0.888888888888889,4.59391603900274,16
"97","{frankfurter,root vegetables,sliced cheese} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331,10
"98","{frankfurter,yogurt,sliced cheese} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"99","{butter,whipped/sour cream,sliced cheese} => {whole milk}",0.00122013218098627,0.923076923076923,3.61259910006428,12
"100","{sausage,pip fruit,sliced cheese} => {yogurt}",0.00122013218098627,0.857142857142857,6.14431486880467,12
"101","{yogurt,oil,coffee} => {other vegetables}",0.00101677681748856,0.909090909090909,4.69832322170735,10
"102","{citrus fruit,oil,fruit/vegetable juice} => {other vegetables}",0.00111845449923742,0.846153846153846,4.37305469097377,11
"103","{tropical fruit,oil,fruit/vegetable juice} => {other vegetables}",0.00122013218098627,0.857142857142857,4.42984760903836,12
"104","{root vegetables,oil,shopping bags} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"105","{tropical fruit,root vegetables,oil} => {other vegetables}",0.00172852058973055,0.85,4.39293221229637,17
"106","{root vegetables,onions,frozen vegetables} => {other vegetables}",0.00132180986273513,0.866666666666667,4.47906813802768,13
"107","{onions,curd,yogurt} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892,11
"108","{root vegetables,onions,napkins} => {other vegetables}",0.00101677681748856,0.909090909090909,4.69832322170735,10
"109","{onions,whole milk,napkins} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247,12
"110","{onions,butter,domestic eggs} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892,11
"111","{onions,butter,bottled water} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803,10
"112","{tropical fruit,onions,butter} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255,12
"113","{root vegetables,onions,butter} => {whole milk}",0.00172852058973055,0.85,3.32660167130919,17
"114","{onions,butter,yogurt} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908,13
